Table S1. oxLDL-induced differentially expressed genes in macrophages identified by single-cell transcriptomics,,,,,
gene,logFC,logCPM,F,PValue,P_adj
PLIN2,2.999886712,8.218127884,558.3656015,9.30165663471455e-14,9.46164512883164e-10
DHCR24,-2.884164417,5.170698855,326.7141656,5.56850823685841e-12,1.88809552617746e-08
SELENOP,-1.484914578,10.72433381,339.4961892,4.16512201135335e-12,1.88809552617746e-08
LDLR,-5.447029834,3.580226636,282.0991214,1.68353604370244e-11,4.2812321591353e-08
CTSL,1.640821982,9.267390148,256.5599871,3.42706683999897e-11,6.9720247792939e-08
CD82,1.654393547,6.390373523,249.053225,4.27762349335615e-11,7.25199769573645e-08
F13A1,-2.221884508,9.118204097,225.7907499,8.87079865717702e-11,1.12982080355702e-07
IGF1,-1.491569476,7.630066172,225.7395472,8.88573184079447e-11,1.12982080355702e-07
C1QA,-1.186701922,11.20877289,214.0208064,1.31857731738778e-10,1.49028538582983e-07
SLC40A1,-2.016653115,7.34040258,191.3881404,3.00295107117664e-10,2.18185844971491e-07
INSIG1,-2.385158359,6.053175312,193.6732353,2.75246721360429e-10,2.18185844971491e-07
SQLE,-2.538710573,4.649906033,192.3532668,2.89415136752326e-10,2.18185844971491e-07
NR1H3,1.858684051,6.307048119,193.2398996,2.79810091913038e-10,2.18185844971491e-07
PLAUR,1.929951578,7.750301504,193.5988611,2.76023944931495e-10,2.18185844971491e-07
KLF2,-3.128575927,3.578709497,184.6166522,3.90977575825271e-10,2.65134926752977e-07
CYP51A1,-1.97883029,5.269496334,181.9640731,4.3461989440573e-10,2.73879918359976e-07
MT1H,-2.171082266,5.958884457,180.6787087,4.57723025178882e-10,2.73879918359976e-07
LSP1,1.312848625,8.067350755,174.6165434,5.87112163815745e-10,3.31783607240764e-07
MS4A6A,-1.173731931,8.183766516,169.851643,7.18059132857607e-10,3.84426184180399e-07
APOE,3.113841571,8.22546992,156.6977651,1.28762867643231e-09,6.5488794483347e-07
MSR1,1.09603075,8.539868136,154.4039003,1.43220744040458e-09,6.93734003990258e-07
CTSB,0.906405871,12.75850426,152.0273656,1.6015942175678e-09,7.40518926413623e-07
FABP5,2.260011981,9.368749618,149.7782705,1.78294168407405e-09,7.55670117100051e-07
ABCG1,3.039239672,4.825763917,150.0026701,1.76384626296015e-09,7.55670117100051e-07
APOC2,2.716668711,6.467738119,139.5287725,2.96364568967485e-09,1.2058481582149e-06
CXXC5,1.285909403,5.452848705,138.312307,3.15490873851918e-09,1.23429737262373e-06
ST14,2.036093045,3.984716613,137.4890555,3.29223348006146e-09,1.24031847996982e-06
MSMO1,-2.934156568,4.880831916,132.9131267,4.18987609183877e-09,1.52212212879228e-06
MMAB,-1.574878296,4.733564583,131.0043884,4.64345448885565e-09,1.62873169174619e-06
S100A9,-1.287679361,9.314181656,129.1319341,5.14285615653513e-09,1.66734892697567e-06
ATP13A3,1.182845452,6.594906698,128.2152431,5.40921299549717e-09,1.66734892697567e-06
SDC2,1.583860926,6.890309031,128.5635118,5.30622965383831e-09,1.66734892697567e-06
ADIRF,1.26783315,7.097938358,128.744325,5.25363536951372e-09,1.66734892697567e-06
MVD,-1.454438361,5.123900138,124.8664502,6.52317708858567e-09,1.9515810983851e-06
C15orf48,1.643850477,6.648134315,123.7480105,6.95113255962996e-09,2.02019772561588e-06
VIM,0.884550103,11.2419425,122.4266538,7.49803437790749e-09,2.11861126922431e-06
FCGR2B,-1.343269741,5.443736473,121.177328,8.06007391239176e-09,2.20701444923876e-06
ACSL1,1.266496386,5.973637891,120.4527961,8.40769006756735e-09,2.20701444923876e-06
