TableS2 marker genes of macrophage subpopulations identified by single-cell multi-omics,,,,,,,
gene,cluster,pct.1,pct.2,avg_log2FC,p_val,p_val_adj,
PCSK6,PCSK6-hi MΦ,0.865,0.525,1.284593112,4.70E-201,1.72E-196,
ITGB5,PCSK6-hi MΦ,0.953,0.845,0.817456495,2.80E-175,1.02E-170,
MYO1E,PCSK6-hi MΦ,0.975,0.936,1.038813366,1.99E-158,7.28E-154,
PPFIBP1,PCSK6-hi MΦ,0.603,0.265,0.92841871,2.31E-149,8.45E-145,
SYNE1,PCSK6-hi MΦ,0.946,0.851,0.873269043,4.74E-126,1.74E-121,
MSR1,PCSK6-hi MΦ,0.985,0.965,0.696996016,1.95E-121,7.13E-117,
ITGB8,PCSK6-hi MΦ,0.502,0.191,1.039710642,1.68E-119,6.14E-115,
TPRG1,PCSK6-hi MΦ,0.951,0.845,1.02009423,5.57E-112,2.04E-107,
DTNA,PCSK6-hi MΦ,0.962,0.865,0.694118778,9.84E-111,3.60E-106,
AC100849.1,PCSK6-hi MΦ,0.724,0.425,0.843215733,1.84E-106,6.75E-102,
CDK6,PCSK6-hi MΦ,0.945,0.873,0.73302267,2.04E-103,7.47E-99,
SPP1,PCSK6-hi MΦ,0.924,0.89,1.102033182,1.49E-100,5.45E-96,
ASPH,PCSK6-hi MΦ,0.99,0.985,0.604705031,3.57E-97,1.31E-92,
CREB5,PCSK6-hi MΦ,0.777,0.553,0.810177546,4.82E-97,1.76E-92,
ALCAM,PCSK6-hi MΦ,0.958,0.9,0.984582655,1.70E-96,6.24E-92,
AKAP6,PCSK6-hi MΦ,0.734,0.473,0.802189758,9.82E-95,3.60E-90,
AC131944.1,PCSK6-hi MΦ,0.52,0.222,1.225070036,6.62E-92,2.42E-87,
GLIS3,PCSK6-hi MΦ,0.595,0.307,0.927152911,1.10E-91,4.02E-87,
ITGAX,PCSK6-hi MΦ,0.976,0.919,0.526255297,1.13E-88,4.15E-84,
LNCAROD,PCSK6-hi MΦ,0.984,0.906,0.564833558,1.38E-87,5.04E-83,
AC092546.1,PCSK6-hi MΦ,0.64,0.364,0.70542908,1.55E-87,5.66E-83,
MTSS1,PCSK6-hi MΦ,0.976,0.922,0.568958281,1.01E-84,3.70E-80,
NRP1,PCSK6-hi MΦ,0.992,0.993,0.438126212,6.25E-82,2.29E-77,
SHC3,PCSK6-hi MΦ,0.31,0.082,0.435204188,7.20E-82,2.64E-77,
HTRA1,PCSK6-hi MΦ,0.636,0.411,0.508034305,3.05E-81,1.12E-76,
CPA6,PCSK6-hi MΦ,0.661,0.394,0.718762648,2.80E-80,1.02E-75,
PSD3,PCSK6-hi MΦ,0.841,0.639,0.69198298,3.12E-79,1.14E-74,
KIF1B,PCSK6-hi MΦ,0.923,0.85,0.548808766,3.14E-79,1.15E-74,
SDC2,PCSK6-hi MΦ,0.758,0.547,0.850832302,9.17E-79,3.36E-74,
NAV1,PCSK6-hi MΦ,0.667,0.399,0.590843912,1.36E-77,4.96E-73,
FMNL2,PCSK6-hi MΦ,0.985,0.97,0.632153209,1.35E-76,4.93E-72,
NEK10,PCSK6-hi MΦ,0.802,0.599,0.771816073,4.04E-75,1.48E-70,
SLC7A8,PCSK6-hi MΦ,0.895,0.776,0.558458818,6.07E-74,2.22E-69,
ARHGAP22,PCSK6-hi MΦ,0.963,0.939,0.518716314,1.41E-72,5.14E-68,
MRC2,PCSK6-hi MΦ,0.761,0.531,0.572642165,6.47E-72,2.37E-67,
ZNF462,PCSK6-hi MΦ,0.28,0.072,0.370518214,4.66E-69,1.71E-64,
BCL2,PCSK6-hi MΦ,0.854,0.718,0.698753745,8.28E-67,3.03E-62,
PLPP4,PCSK6-hi MΦ,0.25,0.065,0.498068206,2.07E-65,7.58E-61,
AC099560.1,PCSK6-hi MΦ,0.656,0.411,0.532176738,1.15E-63,4.21E-59,
ZNF618,PCSK6-hi MΦ,0.612,0.391,0.492677879,7.12E-63,2.60E-58,
FRMD4A,PCSK6-hi MΦ,0.981,0.961,0.43030365,9.01E-63,3.30E-58,
PLTP,PCSK6-hi MΦ,0.697,0.522,0.490331927,7.21E-62,2.64E-57,
ADARB1,PCSK6-hi MΦ,0.532,0.313,0.585144027,1.08E-61,3.95E-57,
IGSF21,PCSK6-hi MΦ,0.219,0.061,0.352686073,1.90E-60,6.95E-56,
PHC2,PCSK6-hi MΦ,0.869,0.773,0.557871119,4.36E-60,1.60E-55,
DDX60L,PCSK6-hi MΦ,0.883,0.782,0.605849307,1.30E-59,4.75E-55,
RUNX1,PCSK6-hi MΦ,0.927,0.876,0.627144393,5.64E-58,2.06E-53,
CD109,PCSK6-hi MΦ,0.7,0.495,0.543243929,3.13E-57,1.14E-52,
ATP13A3,PCSK6-hi MΦ,0.89,0.786,0.623046007,3.76E-57,1.37E-52,
DYNC1H1,PCSK6-hi MΦ,0.885,0.807,0.447746239,8.20E-57,3.00E-52,
AC006001.2,PCSK6-hi MΦ,0.859,0.734,0.61836136,4.06E-54,1.49E-49,
SLC16A10,PCSK6-hi MΦ,0.626,0.382,0.737817309,9.33E-54,3.42E-49,
CADM1,PCSK6-hi MΦ,0.639,0.417,0.619848606,2.65E-52,9.71E-48,
LRP1,PCSK6-hi MΦ,0.965,0.963,0.332759135,2.97E-52,1.09E-47,
BCAT1,PCSK6-hi MΦ,0.875,0.766,0.447619577,3.87E-52,1.42E-47,
XYLT1,PCSK6-hi MΦ,0.897,0.813,0.556142161,5.00E-52,1.83E-47,
MITF,PCSK6-hi MΦ,0.985,0.975,0.551019556,8.28E-51,3.03E-46,
SLC4A8,PCSK6-hi MΦ,0.747,0.549,0.473832053,1.90E-50,6.96E-46,
AC093895.1,PCSK6-hi MΦ,0.178,0.04,0.65938814,2.66E-50,9.73E-46,
ADAM9,PCSK6-hi MΦ,0.94,0.916,0.399863521,2.82E-49,1.03E-44,
CD36,PCSK6-hi MΦ,0.931,0.904,1.11957093,7.96E-49,2.91E-44,
SOX4,PCSK6-hi MΦ,0.414,0.223,0.450555988,7.83E-48,2.86E-43,
MAML2,PCSK6-hi MΦ,0.992,0.992,0.384716339,1.23E-47,4.50E-43,
WHRN,PCSK6-hi MΦ,0.293,0.107,0.31985897,4.14E-47,1.51E-42,
PITPNC1,PCSK6-hi MΦ,0.926,0.828,0.449944464,5.76E-47,2.11E-42,
ME2,PCSK6-hi MΦ,0.915,0.849,0.468988304,1.11E-45,4.06E-41,
SLC4A7,PCSK6-hi MΦ,0.983,0.955,0.425752667,3.09E-45,1.13E-40,
JAKMIP2,PCSK6-hi MΦ,0.81,0.661,0.655795405,7.16E-45,2.62E-40,
P2RX7,PCSK6-hi MΦ,0.611,0.402,0.441806154,5.47E-44,2.00E-39,
UST,PCSK6-hi MΦ,0.389,0.189,0.420870984,5.75E-44,2.11E-39,
TPST2,PCSK6-hi MΦ,0.802,0.668,0.348148523,6.51E-44,2.38E-39,
PAPSS1,PCSK6-hi MΦ,0.904,0.816,0.364317345,8.56E-44,3.13E-39,
MAP2,PCSK6-hi MΦ,0.207,0.061,0.38171912,8.86E-44,3.24E-39,
