TableS4 TF-DORC pairs with strong cis-regulations,,,,,,,,,
DORC,TF,Enrichment.Z,Enrichment.P,Enrichment.log10P,Corr,Corr.Z,Corr.P,Corr.log10P,Score
HLA-DRB5,RFX5,2.72423919,0.006444981,2.190778349,0.272243308,2.779521439,0.005443906,2.264089384,1.926142358
MREG,FOS,9.865897745,5.85E-23,22.23277963,-0.2850979,-2.686942234,0.007210942,-2.142007984,-2.142007984
SPSB1,FOS,7.035627024,1.98E-12,11.70253078,-0.218653242,-2.497009255,0.012524569,-1.902237218,-1.902237217
SPSB1,NR1H3,2.692772879,0.007086052,2.149595653,0.290481819,2.678864702,0.007387224,2.131518753,1.841006744
SPSB1,GLI3,2.54858568,0.010816071,1.965930453,0.258986076,2.358678547,0.018340135,1.736597477,1.538233866
TM4SF19,FOS,7.105848221,1.20E-12,11.92232046,-0.285866337,-3.437055882,0.000588074,-3.230567829,-3.230567828
TM4SF19,GLI3,3.53049575,0.000414782,3.382180434,0.247998459,2.518889993,0.011772543,1.929129711,1.914265657
TM4SF19,THRB,2.526748407,0.011512394,1.938834348,0.285562165,2.937961266,0.003303783,2.48098849,1.830380144
HIST1H1D,ETS2,2.8977431,0.003758583,2.424975828,0.338901017,2.581207738,0.009845532,2.006760827,1.867512665
NRP1,JUNB,9.579459216,9.76E-22,21.01075322,-0.210614907,-2.289511923,0.022049626,-1.656598773,-1.656598773
NRP1,JUND,9.227423566,2.77E-20,19.55717617,0.262078291,2.757396795,0.00582636,2.234602668,2.234602668
PLPP4,FOS,10.21247979,1.74E-24,23.75857567,-0.328598034,-2.850031552,0.004371489,-2.359370588,-2.359370588
PLPP4,FOSL1,8.899327802,5.62E-19,18.25037246,0.344128216,2.759252446,0.005793376,2.237068268,2.237068268
PLPP4,JDP2,7.162700208,7.91E-13,12.10180585,0.3213177,2.569055223,0.010197621,1.991501153,1.991501153
PLPP4,CREB5,2.702994121,0.006871796,2.16292973,0.427824936,3.457127207,0.000545967,3.262833558,2.129946747
PLPP4,RUNX1,2.372598011,0.017663476,1.752923824,0.532020718,4.325925967,1.52E-05,4.818463857,1.752557115
TCTEX1D2,FOS,6.798845848,1.05E-11,10.97690983,-0.255078783,-3.198260876,0.001382591,-2.859306137,-2.859306133
TCTEX1D2,GLI3,3.700424494,0.000215239,3.667078799,0.220246825,2.38975958,0.016859405,1.773157752,1.767740644
TCTEX1D2,CEBPB,3.24229614,0.001185707,2.926022456,0.218731719,2.371947693,0.017694595,1.752159361,1.724473917
CLMP,FOSL1,9.212546317,3.18E-20,19.49691968,0.242277593,2.205631034,0.027409844,1.562093431,1.562093431
CLMP,FOS,8.67792942,4.03E-18,17.39465291,-0.314392753,-3.338151219,0.000843378,-3.073977542,-3.073977542
CLMP,MSANTD3,3.815481071,0.000135918,3.866723423,0.283968432,2.620822785,0.008771785,2.056912038,2.050292426
CLMP,MAF,3.075396724,0.002102227,2.677320351,-0.232391104,-2.521511195,0.011685196,-1.932364009,-1.861291372
AFAP1L1,FOS,8.02036487,1.05E-15,14.97702955,-0.28940781,-3.031474347,0.002433626,-2.613746165,-2.613746165
AFAP1L1,ZBTB43,2.830919745,0.004641437,2.333347582,0.293140961,2.557261226,0.010549996,1.976747711,1.819803413
AFAP1L1,MSANTD3,2.807068284,0.004999464,2.301076531,0.28297141,2.459698694,0.01390537,1.856817443,1.72502711
AFAP1L1,ZNF711,2.519167081,0.011763282,1.929471482,0.30039452,2.626848916,0.008617959,2.064595583,1.692934926
