TableS3 predicted macrophage cis-regulatory elements ,,,,,,,,,
seqnames,start,end,width,strand,score,gene,peak,zscore,pvalue
chr1,827522,1319096,491575,*,0.058774199,LINC00115,chr1-1318975-1319217,4.974051542,3.28E-07
chr1,867767,1206691,338925,*,0.065373746,TNFRSF18,chr1-867637-867896,3.599800992,0.00015923
chr1,876903,1238079,361177,*,0.052064066,FAM41C,chr1-1237969-1238189,3.465113993,0.000265003
chr1,876903,1250646,373744,*,0.051273274,FAM41C,chr1-1250268-1251023,3.12589959,0.00088631
chr1,1005337,1206691,201355,*,0.054905517,TNFRSF18,chr1-1005017-1005656,3.289805438,0.000501283
chr1,1089249,1206691,117443,*,0.052611642,TNFRSF18,chr1-1089198-1089300,3.282174136,0.00051505
chr1,1089249,1540453,451205,*,0.058759721,TMEM240,chr1-1089198-1089300,3.014654126,0.001286362
chr1,1117672,1434861,317190,*,0.052222035,VWA1,chr1-1117499-1117845,2.969715668,0.001490377
chr1,1201377,1434861,233485,*,0.052400124,VWA1,chr1-1200954-1201800,3.242816506,0.000591772
chr1,1206691,1433770,227080,*,0.054734568,TNFRSF18,chr1-1433392-1434148,3.815277882,6.80E-05
chr1,1206691,1455498,248808,*,0.051767447,TNFRSF18,chr1-1455345-1455650,2.336741587,0.009726312
chr1,1206691,1460632,253942,*,0.073225626,TNFRSF18,chr1-1460479-1460785,4.877003746,5.39E-07
chr1,1206691,1497867,291177,*,0.05161272,TNFRSF18,chr1-1497790-1497943,2.368138651,0.008938917
chr1,1215302,1632095,416794,*,0.052967562,MMP23B,chr1-1215222-1215382,3.824280846,6.56E-05
chr1,1290355,1434861,144507,*,0.050266575,VWA1,chr1-1290254-1290456,3.246966073,0.000583211
chr1,1299168,1512151,212984,*,0.062649653,ATAD3A,chr1-1299018-1299317,4.542789105,2.78E-06
chr1,1324756,1597622,272867,*,0.06023485,CPTP,chr1-1597374-1597869,4.298473172,8.60E-06
chr1,1349350,1758899,409550,*,0.052122768,DVL1,chr1-1758639-1759159,3.241820654,0.000593844
chr1,1389938,1540453,150516,*,0.115327791,TMEM240,chr1-1389803-1390072,4.745319303,1.04E-06
chr1,1449689,1819377,369689,*,0.073591155,ATAD3C,chr1-1819269-1819484,3.466266378,0.00026387
chr1,1460632,1512151,51520,*,0.053131158,ATAD3A,chr1-1460479-1460785,4.130903946,1.81E-05
chr1,1536717,1540453,3737,*,0.070241304,TMEM240,chr1-1536649-1536784,3.917391975,4.48E-05
chr1,1540453,1849372,308920,*,0.062718043,TMEM240,chr1-1848926-1849818,3.469224241,0.000260982
chr1,1540453,2027705,487253,*,0.083189046,TMEM240,chr1-2027563-2027847,5.622416777,9.42E-09
chr1,1615415,2019525,404111,*,0.05250274,MIB2,chr1-2019220-2019830,3.815078917,6.81E-05
chr1,1798143,2050470,252328,*,0.052588463,PRKCZ,chr1-1798049-1798237,4.300897816,8.51E-06
chr1,2050470,2322205,271736,*,0.061680156,PRKCZ,chr1-2322074-2322335,6.659709879,1.37E-11
chr1,2133412,2391775,258364,*,0.058538029,RER1,chr1-2132805-2134018,1.904808411,0.02840249
chr1,2234583,2391775,157193,*,0.053885596,RER1,chr1-2234052-2235114,1.924770472,0.02712904
chr1,2260196,2632990,372795,*,0.069341383,MMEL1,chr1-2260117-2260274,4.453664135,4.22E-06
chr1,2266316,2632990,366675,*,0.086538308,MMEL1,chr1-2266220-2266412,7.975146683,7.61E-16
chr1,2391755,2391775,21,*,0.069001555,RER1,chr1-2391069-2392440,2.715368354,0.003310105
chr1,2391775,2412779,21005,*,0.060193923,RER1,chr1-2411845-2413713,1.902037494,0.028583126
chr1,2567591,2632990,65400,*,0.051333728,MMEL1,chr1-2567480-2567702,4.164983463,1.56E-05
chr1,2801717,3148417,346701,*,0.050990145,TTC34,chr1-3148355-3148479,3.67813963,0.000117471
chr1,3323548,3772788,449241,*,0.065891145,SMIM1,chr1-3323363-3323732,5.316763355,5.28E-08
chr1,3496200,3652520,156321,*,0.069871526,TP73,chr1-3495986-3496413,4.423798275,4.85E-06
chr1,3504439,3611495,107057,*,0.057334602,MEGF6,chr1-3503878-3504999,3.232219166,0.000614164
chr1,3531261,3611495,80235,*,0.076079105,MEGF6,chr1-3530494-3532028,4.146412753,1.69E-05
chr1,3538493,3772788,234296,*,0.079217431,SMIM1,chr1-3538245-3538741,8.978362528,1.37E-19
chr1,3590926,3652520,61595,*,0.050000524,TP73,chr1-3590809-3591043,3.152979759,0.000808065
chr1,3593931,3652520,58590,*,0.063761019,TP73,chr1-3593794-3594068,4.03507106,2.73E-05
chr1,3630515,3772788,142274,*,0.075111862,SMIM1,chr1-3630362-3630668,5.874142824,2.13E-09
chr1,3652520,3992227,339708,*,0.061606553,TP73,chr1-3991899-3992555,3.889265511,5.03E-05
chr1,3900293,3983307,83015,*,0.058011835,C1orf174,chr1-3983118-3983495,4.532287917,2.92E-06
chr1,5855378,6205475,350098,*,0.103397047,RNF207,chr1-5855312-5855444,7.148664539,4.38E-13
chr1,5991466,6060015,68550,*,0.097012105,KCNAB2,chr1-6059893-6060136,5.779312158,3.75E-09
chr1,5991466,6063751,72286,*,0.097561373,KCNAB2,chr1-6063426-6064076,4.349954268,6.81E-06
chr1,5991466,6082580,91115,*,0.053919841,KCNAB2,chr1-6082453-6082707,2.726696594,0.003198592
chr1,5991466,6401820,410355,*,0.060179608,KCNAB2,chr1-6401586-6402053,2.356444543,0.009225411
chr1,5991466,6415304,423839,*,0.0600227,KCNAB2,chr1-6415085-6415522,2.139080342,0.016214581
chr1,5991466,6416139,424674,*,0.06717994,KCNAB2,chr1-6416044-6416233,3.702447237,0.000106765
chr1,5991466,6430266,438801,*,0.061106607,KCNAB2,chr1-6430084-6430448,3.306455809,0.000472421
chr1,5992429,6209389,216961,*,0.057085248,RPL22,chr1-5991392-5993466,2.63417574,0.004217091
chr1,6027380,6209389,182010,*,0.05933595,RPL22,chr1-6025970-6028789,2.927015555,0.001711159
chr1,6060015,6424670,364656,*,0.077029288,HES2,chr1-6059893-6060136,3.940744511,4.06E-05
chr1,6063751,6209389,145639,*,-0.054998358,RPL22,chr1-6063426-6064076,-3.140044519,0.000844611
